regcode,provcode,citycode,regcode_9,provcode_9,citycode_9,cityname,geographic_level,old_names,cityclass,incomeclass,addedby,UserLevelID,dateupdated,status
3,3014,301416,3,314,31416,PAOMBONG,Mun,,,3rd,ims,0,,A
3,3014,301417,3,314,31417,PLARIDEL,Mun,,,1st,ims,0,,A
3,3014,301418,3,314,31418,PULILAN,Mun,,,1st,ims,0,,A
3,3014,301419,3,314,31419,SAN ILDEFONSO,Mun,,,1st,ims,0,,A
3,3014,301420,3,314,31420,CITY OF SAN JOSE DEL MONTE,City,,CC,1st,ims,0,,A
3,3014,301421,3,314,31421,SAN MIGUEL,Mun,,,1st,ims,0,,A
3,3014,301422,3,314,31422,SAN RAFAEL,Mun,,,1st,ims,0,,A
3,3014,301423,3,314,31423,SANTA MARIA,Mun,,,1st,ims,0,,A
3,3014,301424,3,314,31424,DO?A REMEDIOS TRINIDAD,Mun,,,1st,ims,0,,A
3,3049,304901,3,349,34901,ALIAGA,Mun,,,2nd,ims,0,,A
3,3049,304902,3,349,34902,BONGABON,Mun,,,2nd,ims,0,,A
3,3049,304903,3,349,34903,CITY OF CABANATUAN,City,,CC,1st,ims,0,,A
3,3049,304904,3,349,34904,CABIAO,Mun,,,1st,ims,0,,A
3,3049,304905,3,349,34905,CARRANGLAN,Mun,,,1st,ims,0,,A
3,3049,304906,3,349,34906,CUYAPO,Mun,,,1st,ims,0,,A
3,3049,304907,3,349,34907,GABALDON,Mun,Bitulok & Sabani,,4th,ims,0,,A
3,3049,304908,3,349,34908,CITY OF GAPAN,City,,CC,4th,ims,0,,A
3,3049,304909,3,349,34909,GENERAL MAMERTO NATIVIDAD,Mun,,,3rd,ims,0,,A
3,3049,304910,3,349,34910,GENERAL TINIO,Mun,Papaya,,1st,ims,0,,A
3,3049,304911,3,349,34911,GUIMBA,Mun,,,1st,ims,0,,A
3,3049,304912,3,349,34912,JAEN,Mun,,,2nd,ims,0,,A
3,3049,304913,3,349,34913,LAUR,Mun,,,3rd,ims,0,,A
3,3049,304914,3,349,34914,LICAB,Mun,,,4th,ims,0,,A
3,3049,304915,3,349,34915,LLANERA,Mun,,,4th,ims,0,,A
3,3049,304916,3,349,34916,LUPAO,Mun,,,3rd,ims,0,,A
3,3049,304917,3,349,34917,SCIENCE CITY OF MU?OZ,City,,CC,4th,ims,0,,A
3,3049,304918,3,349,34918,NAMPICUAN,Mun,,,5th,ims,0,,A
3,3049,304919,3,349,34919,CITY OF PALAYAN (CAPITAL),City,,CC,5th,ims,0,,A
3,3049,304920,3,349,34920,PANTABANGAN,Mun,,,1st,ims,0,,A
3,3049,304921,3,349,34921,PE?ARANDA,Mun,,,4th,ims,0,,A
3,3049,304922,3,349,34922,QUEZON,Mun,,,4th,ims,0,,A
3,3049,304923,3,349,34923,RIZAL,Mun,,,2nd,ims,0,,A
3,3049,304924,3,349,34924,SAN ANTONIO,Mun,,,1st,ims,0,,A
3,3049,304925,3,349,34925,SAN ISIDRO,Mun,,,2nd,ims,0,,A
3,3049,304926,3,349,34926,SAN JOSE CITY,City,,CC,3rd,ims,0,,A
3,3049,304927,3,349,34927,SAN LEONARDO,Mun,,,1st,ims,0,,A
3,3049,304928,3,349,34928,SANTA ROSA,Mun,,,1st,ims,0,,A
3,3049,304929,3,349,34929,SANTO DOMINGO,Mun,,,3rd,ims,0,,A
3,3049,304930,3,349,34930,TALAVERA,Mun,,,1st,ims,0,,A
3,3049,304931,3,349,34931,TALUGTUG,Mun,,,4th,ims,0,,A
3,3049,304932,3,349,34932,ZARAGOZA,Mun,,,3rd,ims,0,,A
3,3301,330100,3,354,35401,CITY OF ANGELES,City,,HUC,1st,ims,0,,A
3,3054,305402,3,354,35402,APALIT,Mun,,,1st,ims,0,,A
3,3054,305403,3,354,35403,ARAYAT,Mun,,,1st,ims,0,,A
3,3054,305404,3,354,35404,BACOLOR,Mun,,,3rd,ims,0,,A
3,3054,305405,3,354,35405,CANDABA,Mun,,,1st,ims,0,,A
3,3054,305406,3,354,35406,FLORIDABLANCA,Mun,,,1st,ims,0,,A
3,3054,305407,3,354,35407,GUAGUA,Mun,,,1st,ims,0,,A
3,3054,305408,3,354,35408,LUBAO,Mun,,,1st,ims,0,,A
3,3054,305409,3,354,35409,MABALACAT CITY,City,,CC,3rd,ims,0,,A
3,3054,305410,3,354,35410,MACABEBE,Mun,,,1st,ims,0,,A
3,3054,305411,3,354,35411,MAGALANG,Mun,,,1st,ims,0,,A
3,3054,305412,3,354,35412,MASANTOL,Mun,,,2nd,ims,0,,A
3,3054,305413,3,354,35413,MEXICO,Mun,,,1st,ims,0,,A
3,3054,305414,3,354,35414,MINALIN,Mun,,,4th,ims,0,,A
3,3054,305415,3,354,35415,PORAC,Mun,,,1st,ims,0,,A
3,3054,305416,3,354,35416,CITY OF SAN FERNANDO (CAPITAL),City,,CC,1st,ims,0,,A
3,3054,305417,3,354,35417,SAN LUIS,Mun,,,3rd,ims,0,,A
3,3054,305418,3,354,35418,SAN SIMON,Mun,,,3rd*,ims,0,,A
3,3054,305419,3,354,35419,SANTA ANA,Mun,,,3rd,ims,0,,A
3,3054,305420,3,354,35420,SANTA RITA,Mun,,,4th,ims,0,,A
3,3054,305421,3,354,35421,STO. TOMAS,Mun,,,4th,ims,0,,A
3,3054,305422,3,354,35422,SASMUAN,Mun,Sexmoan,,4th,ims,0,,A
3,3069,306901,3,369,36901,ANAO,Mun,,,5th,ims,0,,A
3,3069,306902,3,369,36902,BAMBAN,Mun,,,2nd,ims,0,,A
3,3069,306903,3,369,36903,CAMILING,Mun,,,1st,ims,0,,A
3,3069,306904,3,369,36904,CAPAS,Mun,,,1st,ims,0,,A
3,3069,306905,3,369,36905,CONCEPCION,Mun,,,1st,ims,0,,A
3,3069,306906,3,369,36906,GERONA,Mun,,,1st,ims,0,,A
3,3069,306907,3,369,36907,LA PAZ,Mun,,,2nd,ims,0,,A
3,3069,306908,3,369,36908,MAYANTOC,Mun,,,3rd,ims,0,,A
3,3069,306909,3,369,36909,MONCADA,Mun,,,1st,ims,0,,A
3,3069,306910,3,369,36910,PANIQUI,Mun,,,1st,ims,0,,A
3,3069,306911,3,369,36911,PURA,Mun,,,4th,ims,0,,A
3,3069,306912,3,369,36912,RAMOS,Mun,,,5th,ims,0,,A
3,3069,306913,3,369,36913,SAN CLEMENTE,Mun,,,5th,ims,0,,A
